step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.005387205333333333,6.601214226632765e-06,3.1066738827884774e-05,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.06733333333333333,0.07339758397476945,0.1,0.07339758397476945,0.0,0.0,0.0,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.00520008869357212,6.799265868930614e-06,2.7464623910527612e-05,0.02967363226317044,1,8,,0,1.5728574573252912e-09,0.9565307939933589,0.9539619470611479,0.9400226358538613,0.9400551750623108,0.06616325619102816,0.0721116404859307,0.09813122420777601,0.07210584760569529,8.805058952997868e-05,0.013104139993960578,0.578893782582471,0.01133350102272593,0.029673632263170446
2,adam,2,3,0.029403,1,0.005001634150008688,7.148538889712015e-06,2.51633583862196e-05,0.02914995288722093,1,9,,0,1.4712042546537688e-11,0.9213168815564552,0.9101232552343909,0.88071664711194,0.8809326979494656,0.06485730745502911,0.07072223236018987,0.09622987857736046,0.07070027116051951,0.0001793945967875266,0.026315771412262892,1.2373361568400656,0.02050132793438627,0.058737937897288324
3,adam,3,4,0.029108969999999998,1,0.004788643677841818,7.650498508480368e-06,2.4831039379555657e-05,0.028754968752171255,1,16,,0,1.1675683765673007e-10,0.8925021303368744,0.864087892243462,0.8218821228172736,0.8221781899144246,0.06339101769138815,0.06920002657399647,0.0942536007804512,0.06915278553156577,0.00027150822599560613,0.03967093033682557,1.942005171907277,0.028129632515553494,0.08736800520125917
4,adam,4,5,0.028817880299999998,1,0.0045580302883715135,8.306153474631087e-06,2.5043900674008097e-05,0.028398057910594868,1,17,,0,6.845577200158881e-11,0.869952148308852,0.8111218110752377,0.7635219260670134,0.7639225345739399,0.06173746606564412,0.06751318603333362,0.09213903339728541,0.06743236250686784,0.0003679363437377427,0.05339489180516956,2.6576299289813066,0.03458150826592075,0.11559942951501612
5,adam,5,6,0.028529701496999998,1,0.004309332499203374,9.265313294172626e-06,2.9235878165825543e-05,0.028046385505663858,1,19,,0,4.8677173688256e-09,0.8533633065207955,0.7524912428353082,0.7054831718457989,0.7060372624931157,0.05984354435022291,0.0656455063138626,0.08985046873335926,0.06552422990885853,0.0006483477735643817,0.08203630141621196,4.897763956130395,0.04021074219666303,0.14343921573966878
6,adam,6,7,0.02824440448203,1,0.004034419177800455,1.0271903661631757e-05,3.8533841665201305e-05,0.02762378994082968,1,16,,0,5.506859064660392e-09,0.8389295513688785,0.6979750171769454,0.6477592472659076,0.6483813573941994,0.05768872864289343,0.06351707784368275,0.08774169444198607,0.06334654566952581,0.0007670422628500318,0.09796895149964069,5.730249423551992,0.04371538524995339,0.1706809554993072
7,adam,7,8,0.027961960437209697,1,0.003728009857120183,1.0910359746637216e-05,2.18155895198337e-05,0.027415267768316758,1,26,,0,6.480460591680433e-11,0.8038650033257937,0.651406359778553,0.5903528063754053,0.5910459543917563,0.05519568221064531,0.06105743081001839,0.08565124720827501,0.06082908715002327,0.0008446033343802678,0.1108584682393766,6.036667680204186,0.04690878275046098,0.19764173532708462
8,adam,8,9,0.0276823408328376,1,0.0033924691588965135,1.2178196757014626e-05,2.831902119237919e-05,0.02722357942546859,1,7,,0,1.5946170774762757e-09,0.7618139471983207,0.6181163889111876,0.5332579172890793,0.5340511192563248,0.05230401347563745,0.05824490672064394,0.08363438787246744,0.05794671764243101,0.0010127391377820984,0.1368036273851896,6.812988018623797,0.05058003560603239,0.22452188573951373
9,adam,9,10,0.027405517424509224,1,0.0030477206452047866,1.622168907895298e-05,7.037718846002563e-05,0.02690337133112758,1,18,,0,3.4950497084568076e-10,0.688631969915762,0.5835980317305616,0.47645941860209184,0.47733696840910367,0.049440240941429854,0.05520616492027667,0.07971071737226217,0.05437339329303361,0.001784782144878574,0.24033818803317833,11.661622741464802,0.054252341527854624,0.25111970027832353
10,adam,10,11,0.02713146225026413,1,0.0028688464524999017,1.9298692243946156e-05,7.125257354572963e-05,0.02567116624841375,1,49,,0,3.68079562758932e-10,0.6565091250432217,0.5461392825109646,0.42004943181525006,0.4211119595285942,0.04770758789091606,0.053561613609934326,0.0784633773006513,0.05221150495060344,0.0024143326098110367,0.3348587796027994,15.305513698224328,0.05841358478633387,0.2762224723366034
11,adam,11,12,0.02686014762776149,1,0.0024905317993881297,2.287576755262964e-05,8.27885791422799e-05,0.023835675858361407,1,51,,0,3.6935396524800107e-09,0.617338358708132,0.501905794886257,0.3664475021981336,0.36860458239986854,0.04412174973836994,0.04990522817689676,0.07413955097620711,0.04830791055818771,0.002688609141836325,0.3620551695581019,17.407493363895572,0.06408831219552287,0.29865248068007416
12,adam,12,13,0.026591546151483875,1,0.002052276305320598,3.0178430845675266e-05,0.00010365008654986065,0.022582071337456867,1,38,,0,8.0301057617296e-11,0.581521855833759,0.4721406529814874,0.3106692429591415,0.31244954846103573,0.039996673564690575,0.04530205630344607,0.06886016112969527,0.04344319547281074,0.002835769706525545,0.3739651997686347,18.64718092068519,0.07291026709711808,0.318625300648642
13,adam,13,14,0.026325630689969032,1,0.0022837495762549737,5.2044724754491764e-05,0.00045834603889820377,0.021587853695109436,1,137,,0,1.177149753133205e-10,0.3222116454266702,0.14937198807111104,0.25621583171699336,0.2587005412505001,0.04186596899639245,0.04778859253268476,0.08759880022194699,0.04528145805653782,0.005063806636842155,0.6825088022728973,34.29222341272694,0.08629853884062712,0.3360571756189136
14,adam,14,15,0.026062374383069346,1,0.0018753693938137435,4.5195683988462254e-05,0.0002658817917280689,0.018501621128979677,1,50,,0,5.736118212252797e-11,0.3179014600547589,0.1332045261116316,0.203199307687136,0.2053263591736575,0.03766923976058981,0.043305535371517385,0.07536802075281313,0.04073107547474405,0.005001655332827252,0.6803570344608706,33.20381183379995,0.10013696761132226,0.34956487808137454
15,adam,15,16,0.025801750639238653,1,0.0014836844590540837,4.253617651162262e-05,0.00029667381112960447,0.018147144725702846,1,57,,0,1.6965772382161303e-09,0.033419969796496474,0.033419969796496474,0.1529982881201537,0.15447204524355412,0.03340266872745289,0.03851862483337228,0.07020575088942786,0.035616473673757316,0.004915260897939617,0.6744222781799428,31.554517987635922,0.11557030824836867,0.36223881567941263
16,adam,16,17,0.025543733132846264,1,0.0011775084915732082,5.097700902296499e-05,0.00034546723449870324,0.01718595484835148,1,94,,0,3.4651959703073043e-10,0.07088829093821847,0.06299027944200766,0.1049384206912435,0.1063283820280478,0.02955059338332094,0.034314843604090754,0.06571643365882639,0.030576779766329953,0.005779201118779672,0.7694638473820077,37.56728818161099,0.13075168178738336,0.3739138179500432
17,adam,17,18,0.025288295801517802,1,0.0008205441997040044,6.691753711335936e-05,0.0007480199553008405,0.01582707522485889,1,48,,0,4.839774117697563e-10,0.11821292583651916,0.043666847155242404,0.06828672957852071,0.06888123094168158,0.025326830311474383,0.02864514268953821,0.054835181388800315,0.024017430681593024,0.006314192563663441,0.8077184953668838,41.771385772967335,0.14498110850443394,0.3842193267769871
18,adam,18,19,0.025035412843502625,1,0.0006072097945111233,4.043975647046924e-05,0.00037933571067347765,0.014776325614071668,1,64,,0,4.220634006544041e-09,-0.013646613502472853,-0.013646613502472853,0.02078542870216848,0.021437306153901776,0.02169024418142884,0.02464162726994959,0.05331012126904988,0.01893869645777625,0.006337953630407088,0.7977306468702069,41.47736281433783,0.15819573858443498,0.39318412157378513
