step,det_f_min,det_f_negative_cells,det_ainv_min,det_ainv_negative_cells,det_g_min,det_g_negative_cells,double_inverted_cells,skin_section_points,skin_section_cells,skin_section_components,skin_section_camera_view_points
0,0.953218528812609,0,1.0,0,0.953218528812609,0,0,94,93,1,94
1,0.8269338704932889,0,0.753932780342351,0,0.8090282833909971,0,0,98,97,1,98
2,0.660596228930579,0,0.5807668309273458,0,0.6274057875186273,0,0,97,96,1,97
3,0.5259684387503846,0,0.46691982732024895,0,0.4842097567356472,0,0,97,96,1,97
4,0.4319646515802935,0,0.38661503325987995,0,0.37736735787527853,0,0,98,97,1,98
5,0.36588458706065524,0,0.32211272691702447,0,0.30237694231947715,0,0,95,94,1,95
6,0.31940581460062084,0,0.2742657694503816,0,0.33889873006549365,0,0,98,97,1,98
7,0.2863821457115485,0,0.23663046155515532,0,0.27456594889968244,0,0,103,102,1,103
8,0.2608609682749973,0,0.20603441687948512,0,0.20909744274416228,0,0,104,103,1,104
9,0.24113283252728518,0,0.17523244503138097,0,0.17315735556515194,0,0,107,106,1,107
10,0.22579901848293152,0,0.1461850912542726,0,0.14630937476966413,0,0,108,107,1,108
11,0.2134913871350721,0,0.11964743014333738,0,0.13926107906001708,0,0,103,102,1,103
12,0.2021112467679886,0,0.047709752490296936,0,0.11055038927273118,0,0,99,98,1,99
13,0.19321922464402427,0,0.046590214149086824,0,0.09938138346616139,0,0,106,105,1,106
14,0.18584208436214403,0,0.04955557994493954,0,0.1017758006965474,0,0,105,104,1,105
15,0.17983794311562643,0,-0.02054515381909425,1,-0.07687879569629952,1,0,104,103,1,104
16,0.17450569463573876,0,-0.006335264518774792,2,-0.009170036754905438,2,0,106,105,1,106
17,-1.6060331909523984,1,-0.04350813229659626,3,-0.05215533356739588,2,1,112,111,1,112
18,0.16776243967512366,0,-0.04800711724735573,3,-0.05535527671062535,3,0,107,106,1,107
19,-1.2607688760604374,2,-0.10576745520222734,4,-0.050460826889777204,2,2,116,115,1,116
20,-1.5934428556794453,2,-0.12710216907924807,8,-0.09018393133413204,6,2,118,117,1,118
21,-0.22319557111259988,1,-0.11821230148891675,8,-0.09675987531586222,7,1,123,122,1,123
22,-1.314156222444704,3,-0.11138681445583995,9,-0.13082647120715266,6,3,122,121,1,122
23,-1.494048405393372,3,-0.14113288358517015,7,-0.1544237345698987,4,3,120,119,1,120
24,-1.9878302472500926,3,-0.14530465791410344,8,-0.13988354172082076,5,3,125,124,1,125
25,-2.2301165234912004,3,-0.13829943741411707,9,-0.19821369739340997,6,3,126,125,1,126
26,-2.3760856877290526,3,-0.14934921694179878,10,-0.0844611560168915,7,3,126,125,1,126
27,-2.523911601533958,3,-0.15811045552415012,10,-0.07985019016438717,7,3,129,128,1,129
28,-2.550062575301291,3,-0.16520499221883483,11,-0.10841181929312291,8,3,131,130,1,131
29,-2.601986370217322,3,-0.2331648499617225,14,-0.13484785197003252,11,3,132,131,1,132
30,-2.5491730454667842,4,-0.29932135710934527,15,-0.14289998151542196,11,4,140,139,1,140
31,-2.464255338364373,7,-0.3685893132991799,19,-0.16848309818224116,14,6,141,140,1,141
32,-2.5091576170460055,9,-0.5824063394587903,25,-0.23268896237158251,18,8,138,137,1,138
33,-3.183516026833764,15,-0.8569662031740175,30,-0.3216534208092621,17,14,140,139,1,140
34,-3.777866211828822,17,-1.1371033881665877,36,-0.30247718072473523,23,15,137,136,1,137
35,-3.890609420124464,20,-1.415808265074419,41,-0.3039147479572702,27,17,137,136,1,137
36,-3.674010972293717,24,-1.6916149069710382,43,-0.3134810574477112,27,20,132,131,1,132
37,-3.9105749770887117,24,-1.9620575558684594,47,-0.2997556580970818,29,21,133,132,1,133
38,-4.048119384711039,23,-2.2243546758526773,52,-0.22074420241355897,31,22,133,132,1,133
39,-4.110950842988361,24,-2.4768396688240544,55,-0.23522921604228192,31,24,135,134,1,135
40,-4.454225077664327,29,-2.71868352538119,58,-0.22670610060129576,33,27,137,136,1,137
