step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.0003367003333333333,1.6503035566581913e-06,7.766684706971193e-06,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.016833333333333332,0.018349395993692362,0.025,0.018349395993692362,0.0,0.0,0.0,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.00029218568939805154,1.5548851738890911e-06,5.299929088810569e-06,0.029052663229820714,1,9,,0,1.0163711228373847e-10,0.9567584627230488,0.9541434865451335,0.9400903463863753,0.9402198800856458,0.01569240086498557,0.017093439952158593,0.023297202855375305,0.017069912519931833,8.33833901990729e-05,0.012603600322283434,0.5449542052759918,0.010989532306663904,0.02905266322982072
2,adam,2,3,0.029403,1,0.0002492275060743061,1.5233700848505392e-06,3.86472071551793e-06,0.028337042369942805,1,8,,0,4.401503050852132e-12,0.9259128786564012,0.9126146478400793,0.8814176222715597,0.8819468829624623,0.014465976686200794,0.01578694099799914,0.021609472523093504,0.01569439594651558,0.00016365552010481768,0.02462308850698958,1.1284588685380208,0.019330912640826196,0.05730265406201585
3,adam,3,4,0.029108969999999998,1,0.00020768342736824643,1.5257634705205218e-06,3.146555990029754e-06,0.02769268738778773,1,21,,0,3.670676123759587e-11,0.9054233736134161,0.87271409703478,0.8233543230486347,0.8243129540253036,0.013145601208877809,0.014411225741353385,0.02008358940003798,0.01420501640780064,0.00023620504544868292,0.03578352872891622,1.6867475791376143,0.025864880041074366,0.08485491054429697
4,adam,4,5,0.028817880299999998,1,0.00016778635861221765,1.5427068426460857e-06,3.6248843349406012e-06,0.026913549963097163,1,13,,0,7.2656636862612115e-09,0.8948767285077688,0.8272906065947458,0.7658091165249914,0.7668636682016327,0.01172657316639287,0.012953237379598108,0.018532611276249108,0.01259333644233885,0.0003012282308606972,0.04597706026728326,2.182935331794755,0.031277500638113916,0.11154773878902682
5,adam,5,6,0.028529701496999998,1,0.0001308514563403848,1.5836274159102294e-06,4.908264878517997e-06,0.025971309802527372,1,29,,0,6.094634382235596e-10,0.861590984390823,0.7841456991608846,0.7087855696565676,0.7102893779832645,0.010293513206980657,0.011439032141767275,0.01702983255195474,0.010899535643419356,0.0005913568441893631,0.07296552185793904,4.484180716924759,0.036357079647509574,0.1371283904835008
6,adam,6,7,0.02824440448203,1,9.652366203132409e-05,1.6242243186959904e-06,6.3830135093702986e-06,0.024751919365752297,1,18,,0,8.913274378921985e-12,0.841774076499209,0.7579086471210398,0.6523148320557236,0.6579070252099437,0.008742869467199632,0.009824645644058827,0.015463312218855555,0.009132980674735754,0.0006609724371179706,0.08324396884340354,4.845764064613291,0.040165461962920146,0.16123775673336999
7,adam,7,8,0.027961960437209697,1,6.863710283621777e-05,3.815936948275802e-06,2.8516601733783917e-05,0.023480516171148075,1,17,,0,1.4972527905676746e-09,0.8159898575222022,0.7371700138885768,0.596373702325592,0.6022693143510313,0.0072718702681973234,0.00828475122355631,0.013547771523212475,0.007578537420464324,0.0007020007832449261,0.09414194816734876,4.83554576230512,0.043797169176464285,0.18357551786214638
8,adam,8,9,0.0276823408328376,1,4.046455440883244e-05,1.3827369482448602e-06,5.432546589831703e-06,0.021810132307563,1,16,,0,3.6652188814489593e-10,0.8860345831349923,0.715958773389476,0.5412733204014452,0.547509349582237,0.005370232498311825,0.006361175552429947,0.010836914328897475,0.005820265440373989,0.0004485112802250581,0.07282018501689567,2.955796429259543,0.0487847967643127,0.20230079474395107
9,adam,9,10,0.027405517424509224,1,2.445401217861306e-05,1.1975230755589506e-06,4.763349267158281e-06,0.020292376684632577,1,27,,0,3.3608256314696787e-09,0.8776677752633806,0.6986759890717603,0.48693064994173574,0.49260490164234655,0.004389012690175643,0.004945099814828115,0.0075910996126353995,0.0045703415108280625,0.00047292937774652224,0.07604908533089046,3.165939740242226,0.05753277483706652,0.21976937914185307
10,adam,10,11,0.02713146225026413,1,3.24474630375603e-05,3.430350488989782e-06,1.550430596915426e-05,0.01848030036176662,1,23,,0,2.1752831394959735e-09,0.6621209959138502,0.6503071697842994,0.4347184887918475,0.44030599957001465,0.004654695560045317,0.005696267465416306,0.020965122270395334,0.004589136352447501,0.0010720803323411435,0.13153271727227203,7.729647386561214,0.06823589496698332,0.2353058347186546
11,adam,11,12,0.02686014762776149,1,4.382171104050791e-05,5.456920086421495e-06,2.72714034674496e-05,0.014930591728792117,1,25,,0,1.4835683168982438e-09,0.7225918746377153,0.6647389657164285,0.39819035185612467,0.41196580307677894,0.005155895782204021,0.006619796903267344,0.026947351335831118,0.00473167559977984,0.0011981218780036872,0.14469392428225797,8.858802678316822,0.0724124547002359,0.24581439506011848
12,adam,12,13,0.026591546151483875,1,2.181155792178034e-05,1.8440975362144243e-06,9.485134400261457e-06,0.013510391488022563,1,10,,0,4.422374831003212e-09,0.8394251822362914,0.620957161146389,0.36234699117043523,0.3831537955725652,0.004189222987648266,0.004670284565396454,0.009287767118193955,0.004015444836842844,0.0008490113164814533,0.10620580433579639,5.859226822644318,0.07465025876990966,0.25211717741080497
13,adam,13,14,0.026325630689969032,1,2.570458420941645e-05,1.8420977791996935e-06,5.898267166536778e-06,0.012263670339077852,1,8,,0,3.9879598821184565e-09,0.8140223579579249,0.5538905033175907,0.32743160330303833,0.3505276214937391,0.004517504190061171,0.005069968856848773,0.010524166456775808,0.00447565122545358,0.000811783355641177,0.10865574429641321,5.245948935410387,0.07765308012812411,0.2564207330103804
14,adam,14,15,0.026062374383069346,1,2.6550743333847097e-05,1.8276164110960552e-06,5.7947920780120315e-06,0.010893887117130003,1,5,,0,1.7230198697280232e-09,0.7803778635580016,0.47805372199330626,0.30132444279771287,0.3281117018545,0.004650586176158142,0.0051527413416401074,0.010394444777786605,0.004713561320206542,0.0008875365986376541,0.11651264856458525,5.887023285645263,0.08130918381292529,0.25852976458546206
15,adam,15,16,0.025801750639238653,1,2.4269077017797082e-05,1.6602880978073998e-06,5.666579531562926e-06,0.01003327724339436,1,11,,0,5.969239822908514e-09,0.6139282631546311,0.5158632627967534,0.28639637626530445,0.318816596860956,0.004360466165438701,0.004926365497788109,0.01006790898895893,0.004706689508559403,0.0009379992845472619,0.11830828716492059,6.712418069327693,0.08507175158031553,0.2585127824228169
16,adam,16,17,0.025543733132846264,1,2.247578566065053e-05,1.7392716338262408e-06,7.64701472117563e-06,0.009507838665018049,1,23,,0,2.020930801132901e-09,0.4935990693810662,0.48827912601551604,0.2795703265014113,0.319242607482861,0.004155027748192812,0.0047408633876806165,0.009355352944507076,0.004493476142280046,0.0009938427453786093,0.12276116548324766,7.248257080680798,0.08833795575436798,0.256661117358481
17,adam,17,18,0.025288295801517802,1,1.728728920692133e-05,1.3031418033043696e-06,5.251934141301527e-06,0.009223977288201271,1,6,,0,5.16326030907587e-09,0.45001813381407013,0.44419272475641325,0.28362781368126044,0.32581794330588865,0.003710725874235738,0.004157798601053366,0.009320565201563387,0.003940616908466995,0.0009825032219880387,0.11872927713666463,7.233938208918769,0.09044877166001344,0.2535510355156617
18,adam,18,19,0.025035412843502625,1,1.2521466223345142e-05,9.241601809541435e-07,3.69257842936008e-06,0.009181926786345091,1,6,,0,7.95574449677535e-09,0.49161960833941604,0.34266783404766077,0.29360923154718055,0.33199154930909053,0.003173746088298528,0.00353856838613374,0.008694122424386386,0.0032990551964037986,0.0009310194143516561,0.11196223868336071,6.782665523618738,0.0919994200901577,0.24965466313713208
19,adam,19,20,0.024785058715067598,1,9.176545515050031e-06,7.45975525003165e-07,3.84534587482947e-06,0.008944955515961894,1,12,,0,2.735310476253216e-11,0.5160679531343993,0.28538860053054127,0.30370897962007787,0.3256874245954335,0.0025980340215335665,0.0030292813529036932,0.008575233431858004,0.0027547647257933567,0.0009339274461659206,0.10916986368678461,6.570778849672744,0.09347442522512252,0.24536795014082144
